nama_sekolah,npsn,bp,status,pd,guru,kecamatan,wilayah
SMAS ISLAM AL-KHOLIDIN JAKARTA,20107307,SMA,Swasta,53,12,Kebayoran Baru,Kota Jakarta Selatan
SMAS AL HIKMAH JAKARTA,20103427,SMA,Swasta,48,8,Pulo Gadung,Kota Jakarta Timur
SMAS PEMBANGUNAN 3 JATINEGARA,20103173,SMA,Swasta,41,0,Cakung,Kota Jakarta Timur
SMA SINGAPORE INTERCULTURAL SCHOOL,69896714,SPK SMA,Swasta,41,1,Cilandak,Kota Jakarta Selatan
SMAS MUHAMMADIYAH 24,20101325,SMA,Swasta,35,7,Grogol Petamburan,Kota Jakarta Barat
SMAS VILLA MAS JAKARTA,20103187,SMA,Swasta,24,12,Pulo Gadung,Kota Jakarta Timur
SMAS KRISTEN BERKAT JAKARTA,20103224,SMA,Swasta,7,0,Jatinegara,Kota Jakarta Timur
SMAS KANISIUS JAKARTA,20100170,SMA,Swasta,762,42,Menteng,Kota Jakarta Pusat
SMAS PASKALIS,20100173,SMA,Swasta,160,12,Kemayoran,Kota Jakarta Pusat
SMAS PERGURUAN NASIONAL JAKARTA,20100174,SMA,Swasta,61,5,Kemayoran,Kota Jakarta Pusat
SMAS ADVENT SALEMBA,20100175,SMA,Swasta,152,14,Senen,Kota Jakarta Pusat
SMAS SANTO PAULUS JAKARTA,20100179,SMA,Swasta,71,7,Gambir,Kota Jakarta Pusat
SMAS SUNDA KELAPA JAKARTA,20100180,SMA,Swasta,234,12,Menteng,Kota Jakarta Pusat
SMAS TAMAN MADYA I JAKARTA,20100181,SMA,Swasta,566,19,Kemayoran,Kota Jakarta Pusat
SMAS MUHAMMADIYAH 2 JAKARTA,20100182,SMA,Swasta,352,17,Kemayoran,Kota Jakarta Pusat
SMAS MUHAMMADIYAH 16 JAKARTA,20100183,SMA,Swasta,190,12,Senen,Kota Jakarta Pusat
SMAS KARTINI 1 JAKARTA,20100185,SMA,Swasta,194,13,Kemayoran,Kota Jakarta Pusat
SMAS KRISTEN 2 BPK PENABUR,20100186,SMA,Swasta,345,28,Sawah Besar,Kota Jakarta Pusat
SMAS KRISTEN 3 PENABUR JAKARTA,20100187,SMA,Swasta,494,43,Kemayoran,Kota Jakarta Pusat
SMAS KRISTEN BETHEL JAKARTA,20100188,SMA,Swasta,49,10,Tanah Abang,Kota Jakarta Pusat
SMAS KRISTEN KANAAN JAKARTA,20100189,SMA,Swasta,149,16,Kemayoran,Kota Jakarta Pusat
SMAS KRISTEN KARUNIA JAKARTA,20100190,SMA,Swasta,125,11,Sawah Besar,Kota Jakarta Pusat
SMAS KRISTEN KETAPANG 1 JAKARTA,20100191,SMA,Swasta,113,11,Gambir,Kota Jakarta Pusat
SMAS  PERGURUAN KSATRYA,20100193,SMA,Swasta,501,34,Cempaka Putih,Kota Jakarta Pusat
SMA MAHATMA GANDHI SCHOOL,20100194,SPK SMA,Swasta,192,21,Sawah Besar,Kota Jakarta Pusat
SMAS TAMAN MADYA 5 JAKARTA,20100196,SMA,Swasta,97,11,Cempaka Putih,Kota Jakarta Pusat
SMAS TARSISIUS 1 JAKARTA,20100197,SMA,Swasta,173,15,Gambir,Kota Jakarta Pusat
SMAS SANTA THERESIA JAKARTA,20100198,SMA,Swasta,473,28,Menteng,Kota Jakarta Pusat
SMAN 5 JAKARTA,20100210,SMA,Negeri,891,45,Kemayoran,Kota Jakarta Pusat
SMAN 4 JAKARTA,20100211,SMA,Negeri,626,34,Gambir,Kota Jakarta Pusat
SMAN 35 JAKARTA,20100212,SMA,Negeri,706,46,Tanah Abang,Kota Jakarta Pusat
SMAS TRIWIBAWA JAKARTA,20100213,SMA,Swasta,216,7,Sawah Besar,Kota Jakarta Pusat
SMAS YAPERMAS JAKARTA,20100214,SMA,Swasta,119,5,Menteng,Kota Jakarta Pusat
SMAS YP IPPI PETOJO JAKARTA,20100215,SMA,Swasta,379,12,Gambir,Kota Jakarta Pusat
SMAN 1 JAKARTA,20100216,SMA,Negeri,889,46,Sawah Besar,Kota Jakarta Pusat
SMAN 10 JAKARTA,20100217,SMA,Negeri,553,34,Sawah Besar,Kota Jakarta Pusat
SMAN 24 JAKARTA,20100219,SMA,Negeri,521,30,Tanah Abang,Kota Jakarta Pusat
SMAN 25 JAKARTA,20100221,SMA,Negeri,560,32,Gambir,Kota Jakarta Pusat
SMAN 27 JAKARTA,20100223,SMA,Negeri,782,40,Johar Baru,Kota Jakarta Pusat
SMAN 30 JAKARTA,20100224,SMA,Negeri,893,47,Cempaka Putih,Kota Jakarta Pusat
SMAS PSKD 3 JAKARTA,20100483,SMA,Swasta,51,10,Senen,Kota Jakarta Pusat
SMAS AT TAQWA JAKARTA,20100484,SMA,Swasta,241,14,Sawah Besar,Kota Jakarta Pusat
SMAS BUNDA MULIA JAKARTA,20100486,SMA,Swasta,296,16,Gambir,Kota Jakarta Pusat
SMAS FRANSISKUS 1 JAKARTA,20100489,SMA,Swasta,60,9,Senen,Kota Jakarta Pusat
